171.201382	 0.490970	 0.508710	 0.000212	 7.646207	   0.565605		1
42.355437	 0.680340	 0.319509	 0.000114	 0.289082	   0.638391     1 
81.094211	 0.427056	 0.572501	 0.000282	 0.289082      0.258788     1 
159.904498	 0.537875	 0.461797	 0.000224	 2.068531      0.485876     1 
192.231093	 0.509092	 0.490457	 0.000303	 34.779053     0.651421     1 
149.101620	 0.471025	 0.528760	 0.000140	 1.881182      0.466566     1 
184.807666	 0.643005	 0.356945	 0.000036	 34.233429     0.590478     1 
234.456442	 0.742618	 0.257072	 0.000246	 0.596855      0.654580     1 
99.399945	 0.249530	 0.749713	 0.000432	 0.755087      0.314684     1 
42.511344	 0.827245	 0.172568	 0.000159	 0.375154      0.374900     1 
179.275121	 0.707654	 0.292195	 0.000117	 0.375154      0.352114     1 
218.623949	 0.773106	 0.226437	 0.000373	 0.923050      0.698830     1 
179.072606	 0.728006	 0.271825	 0.000133	 2.666580      0.354400     1 
178.234354	 0.730412	 0.269406	 0.000143	 2.658922      0.363340     1 
176.889806	 0.713010	 0.286839	 0.000117	 0.634331      0.355537     1 
177.214937	 0.727243	 0.272652	 0.000082	 3.256346      0.358678     1 
180.846885	 0.722353	 0.277497	 0.000117	 2.336013      0.352702     1 
178.123937	 0.818959	 0.180485	 0.000471	 0.932507      0.386177     1 
212.551628	 0.896334	 0.103331	 0.000304	 0.610338      0.472291     1 
180.325907	 0.772388	 0.226981	 0.000513	 0.960149      0.337617     1 
182.310817	 0.751124	 0.248841	 0.000028	 14.006755     0.485042     1 
176.053755	 0.401348	 0.523092	 0.045132	 14.602186     0.585008     1 
255.585083	 0.525862	 0.473575	 0.000382	 20.942398     0.846623     1 
76.034591	 0.289395	 0.707846	 0.001610	 34.622877     0.251445     1 
193.120737	 0.799020	 0.200857	 0.000102	 1.484813      0.447427     1 
162.628539	 0.727708	 0.272180	 0.000088	 1.050568      0.396286     1 
187.340432	 0.715730	 0.284150	 0.000094	 2.080173      0.519207     1 
165.044959	 0.713088	 0.286845	 0.000053	 1.740157      0.343540     1 
205.752065	 0.571209	 0.428117	 0.000471	 3.957151      0.731483     1 
258.097831	 0.650030	 0.348791	 0.000873	 4.143270      0.818866     1 
181.725525	 0.738389	 0.261501	 0.000087	 4.980735      0.552516     1 
178.355232	 0.734229	 0.265630	 0.000112	 4.559542      0.360746     1 
178.567833	 0.734786	 0.264990	 0.000177	 2.598875      0.366898     1 
179.041289	 0.735276	 0.264539	 0.000147	 4.706915      0.363858     1 
179.576088	 0.738391	 0.261293	 0.000250	 3.999425      0.362959     1 
181.675866	 0.738383	 0.261247	 0.000293	 5.476740      0.360925     1 
178.237262	 0.738682	 0.261020	 0.000236	 3.431793      0.364912     1 
171.246419	 0.515577	 0.483910	 0.000345	 1.850095      0.564728     1 
210.563285	 0.603448	 0.395804	 0.000536	 2.101290      0.755929     1 
155.077123	 0.572444	 0.426704	 0.000596	 1.466031      0.468357     1 
157.065077	 0.410219	 0.589099	 0.000429	 1.978037      0.516832     1 
181.342736	 0.737581	 0.262273	 0.000116	 2.589908      0.371122     1 
220.282262	 0.714751	 0.284974	 0.000214	 2.447058      0.588923     1 
184.088346	 0.755949	 0.231368	 0.010092	 6.521563      0.524759     1 
153.210932	 0.574314	 0.363143	 0.042025	 23.805185     0.461276     1 
147.297339	 0.659143	 0.267023	 0.052191	 27.567435     0.381796     1 
196.370844	 0.793371	 0.193430	 0.010820	 36.514555     0.607848     1 
187.168763	 0.578508	 0.420616	 0.000616	 1.872137      0.647945     1 
157.808742	 0.568388	 0.431197	 0.000289	 1.819945      0.505358     1 
167.615480	 0.610875	 0.388405	 0.000517	 28.774198     0.532289     1 
200.365798	 0.560994	 0.438576	 0.000299	 1.774187      0.709131     1 
177.485017	 0.555006	 0.444431	 0.000390	 1.771063      0.613352     1 
179.474916	 0.676622	 0.322755	 0.000471	 2.189668      0.362308     1 
178.765556	 0.766932	 0.233039	 0.000023	 2.670820      0.439193     1 
170.072501	 0.669912	 0.329865	 0.000168	 2.883939      0.360370     1 
179.552712	 0.665851	 0.334046	 0.000077	 2.083322      0.362250     1 
181.191515	 0.678748	 0.320886	 0.000277	 1.321391      0.364231     1 
170.076437	 0.812537	 0.186744	 0.000605	 0.819258      0.388814     1 
221.545104	 0.860712	 0.139126	 0.000142	 1.085729      0.583380     1 
173.587079	 0.737600	 0.261489	 0.000721	 1.258432      0.315420     1 
139.310329	 0.609391	 0.390474	 0.000097	 2.264915      0.355798     1 
175.653599	 0.793874	 0.206066	 0.000050	 1.688390      0.405390     1 
154.279436	 0.717170	 0.282780	 0.000039	 36.493828     0.377489     1 
155.938172	 0.657249	 0.342629	 0.000091	 5.719012      0.394945     1 
191.144536	 0.792166	 0.207756	 0.000065	 1.893318      0.480153     1 
137.440427	 0.562236	 0.437523	 0.000168	 36.515755     0.361660     1 
160.841353	 0.681936	 0.317795	 0.000204	 36.345795     0.434579     1 
42.097908	 0.589007	 0.410022	 0.000688	 34.751109     0.413952     1 
185.851703	 0.620270	 0.379503	 0.000165	 31.626232     0.547463     1 
212.936748	 0.826319	 0.173430	 0.000214	 35.549793     0.565523     1 
